,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
2405,AriaK91361885,"The dead cannot ask for justice, it is the duty of the living to do so for them",,943,1070,49017,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2406,neethu_sony,Photon in a double-slit 💥,,222,129,5173,80,We love you mere SSR 😘 and miss you every day every hour every time every second  justice for SSR #SushantSinghRajput https://t.co/TW5JUpo10e,['SushantSinghRajput']
2407,JustForSushant,"If you remember me, then I don't care if anyone else forgets.",,659,837,41077,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2408,Tunni4SSR,"Indian Citizen who has joined Twitter to seek #JusticeForSushantSinghRajput.
I AM NOT A BOT.😡
STOP SUPPRESSING #FREEDOMOFSPEECH.
@pmoindia @hmoindia @republic",,1102,482,7485,2,"@vijaygajera Why do not you expose MURDERERS of #SushantSinghRajput.
You have a reach &amp; can help humanity.

Dainik Bhaskar Defaming SSR",['SushantSinghRajput']
2409,Charu41283257,,,205,214,85452,2,.@itsSSR All love. Only love. #SushantSinghRajput ❣️ Sushant 4 Positivity https://t.co/AR2K9ia4FG,['SushantSinghRajput']
2410,mrdineshkhandal,"Indian Traveler ( Incredible India)


                                 ||👉 Online Marketer & Brand Developer 🏆","Jaipur, Rajasthan",69,128,765,0,"Media right now earning bread &amp; butter by defaming the dead, pandemic crisis

Dainik Bhaskar Defaming SSR

#SSR #BoycottBhaskar #BoycottDainikBhaskar #SushantSinghRajput https://t.co/JPhFjvwol8","['SSR', 'BoycottBhaskar', 'BoycottDainikBhaskar', 'SushantSinghRajput']"
2411,Sp54924418,🇺🇸🇮🇳,,46,7,291,18,"• Men Who Broke Stereotypes •

It is always easier said than done.

Embracing the unconventional and not many who talk about the finer creases they left in hearts. This is legacy to learn from, mortals live the moment and not vest all in tomorrow..

#Irrfan #SushantSinghRajput https://t.co/ZMHmMtq8hV",[]
2412,imNehaa_,"As long as you were there @itsSSR I was
🦋❤",Bangladesh,761,2053,28276,80,We love you mere SSR 😘 and miss you every day every hour every time every second  justice for SSR #SushantSinghRajput https://t.co/TW5JUpo10e,['SushantSinghRajput']
2413,Nagendr01514258,"Everyone wants something in life!!! It's more fun in giving, Try it. It's so Addictive",India,1905,2027,87823,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2414,bohemian_ani,"Doctor of Oracle DB | Chionophile | Pluviophile

Conservative
Nationalist🇮🇳
Bhagwa-jeevi🚩🕉
Sush-jeevi💥

koo:@bohemian_ani",Close to Arctic Circle,1203,1570,30886,80,We love you mere SSR 😘 and miss you every day every hour every time every second  justice for SSR #SushantSinghRajput https://t.co/TW5JUpo10e,['SushantSinghRajput']
2415,Ruchi4Tweets,"Voice For RIGHT! Quick with blocking so refrain from any kind of nonsense. Differences and discussions are welcomed, Arguments r not! If u assume don’t ask!",,250,1687,49057,0,"@Neel_Life_Love Sushant is like air in atmosphere.. No need to remember him, coz he is always there..

He is like wallpaper in phone .. Always a background constantly there 🙏🏻❤️

@itsSSR 
#SushantSinghRajput",['SushantSinghRajput']
2416,moi_maahi,@itsSSR🦋🌈🔱~ You got me here | Tragedy Of Silence | धर्मो रक्षति रक्षितः🇮🇳🚩| Writer ~ Fighter ~ Hell Bender|Shiv & Music in Spirit| Thunder & Rain in Self|,Oblivion🪐,347,1716,25459,16,"• Khairiyat •

@itsSSR ~ Happy hearts then, today it brings along all seasons and reasons. You lived it with so much life, the song hits different chords now ~ love, pain, loss, you.
The song will forever stay so would your memories ✨🦋
#SushantSinghRajput #RememberingLegends https://t.co/maucJP7Rjs",[]
2417,RakeshK71669287,,,51,22,1444,1882,"Thank you all for the unconditional Love &amp; support in these unbearable &amp; relentlessly trying times. Sushant, ma brother, you are much loved. Gratitude 🙏 #ssrians #ssr #SushantSinghRajput https://t.co/Amhq46O6t8",[]
2418,moi_maahi,@itsSSR🦋🌈🔱~ You got me here | Tragedy Of Silence | धर्मो रक्षति रक्षितः🇮🇳🚩| Writer ~ Fighter ~ Hell Bender|Shiv & Music in Spirit| Thunder & Rain in Self|,Oblivion🪐,347,1716,25459,18,"• Men Who Broke Stereotypes •

It is always easier said than done.

Embracing the unconventional and not many who talk about the finer creases they left in hearts. This is legacy to learn from, mortals live the moment and not vest all in tomorrow..

#Irrfan #SushantSinghRajput https://t.co/ZMHmMtq8hV",[]
2419,moi_maahi,@itsSSR🦋🌈🔱~ You got me here | Tragedy Of Silence | धर्मो रक्षति रक्षितः🇮🇳🚩| Writer ~ Fighter ~ Hell Bender|Shiv & Music in Spirit| Thunder & Rain in Self|,Oblivion🪐,347,1716,25459,19,"• Men Who Broke Stereotypes •

Possession of prised surnames is Tinsel’s legacy. While they thought otherwise:

@irrfank ~ Dropped his surname for good.
@itsSSR ~ Dropped his surname for a day to register a protest against attacks on Bhansali.

#Irrfan #SushantSinghRajput https://t.co/8J738WXm9E",[]
2420,moi_maahi,@itsSSR🦋🌈🔱~ You got me here | Tragedy Of Silence | धर्मो रक्षति रक्षितः🇮🇳🚩| Writer ~ Fighter ~ Hell Bender|Shiv & Music in Spirit| Thunder & Rain in Self|,Oblivion🪐,347,1716,25459,16,"• Men Who Truly Wore Whites Just Right •

Mortals survive the journey called life, while some are born with extraordinary and take life for a spin.
You both lived life with magic and love
✨🦋🌈 ♥️✨

“You are my best and forever be” ~ 2020💔
#Irrfan #SushantSinghRajput https://t.co/9ogrSLATN7",[]
2421,Zayyn_SSR,,"Islamabad, Pakistan",452,124,630,424,".
Haven’t came across such a beautiful pencil sketch of Sushant Singh Rajput @itsSSR yet !

A tribute by Shri Sandeep Verma, IAS. It was on display at his exhibition of amazing pencil sketches today at Jawahar Kala Kendra, Jaipur.

#SushantSinghRajput 
@IASassociation https://t.co/2CF9yLOeL0",[]
2422,TomBhaiSSRian,Keep on dreaming; a little spark of yourself enough to keep you going forward. Life is often like Tom and Jerry. #JusticeForSushantSinghRajput,Avvara Billah On A BREAK🔌🔌🔌,1002,1407,52185,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2423,Mickey4SSR,"main account 👉 @its_sush_fan
                                                 Hi I am Mickey Mouse 🥰 Here For My Brother Sushant
#justiceforsushantsinghrajput",Disneyland💫,326,395,5943,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2424,TwinkleSush,Sushant 💫❤ Backup Acc of @SrijitaTwinkle which got suspended 🙃,Earth,235,337,5940,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2425,Amrita_W_S,"💫All our dreams can come true, if we have the courage to pursue them⭐
❤️Love For All, Hatred For None💫
Never regret anything that made you smile✨
Justice4SSR",,967,1144,57763,245,"Wrote this two months ago - economic incentives for eliminating #SushantSinghRajput. While we continue to discover dark reasons beyond just money, it is worthwhile to reflect on the economic piece as well: 

#WorldUnitedForSSRJustice
#WeStayUnited4SSR https://t.co/XUXYpprVoZ",['SushantSinghRajput']
2426,ShastriKevin,"#ElectricalEngineer #Wanderlust #Foodie #LoveForCricketLawnTennis #Vadodara #Gujarat







       #Follow #Observe #KeepYourSensesActive #Think #Initiate",India,1623,773,9094,245,"Wrote this two months ago - economic incentives for eliminating #SushantSinghRajput. While we continue to discover dark reasons beyond just money, it is worthwhile to reflect on the economic piece as well: 

#WorldUnitedForSSRJustice
#WeStayUnited4SSR https://t.co/XUXYpprVoZ",['SushantSinghRajput']
2427,Lawangeenzwanan,(🇦🇫//🇳🇱)...₁₂/₂/₂₀₁₇●...₁₄/₆/₂₀₂₀●/I’m a good person but don’t give me a reason to show you my evil side!/☆♡☆@itsSSR ☆♡☆ ₐₙd 《ₐᵣₙₐb Gₒₛwₐₘᵢ》/(B. @Foros1720),ₙₒₙₑ ₒf yₒᵤᵣ bᵤₛᵢₙₑₛₛ!!!,723,759,33821,69,Good night warrior's #SushantSinghRajput https://t.co/nSkbpK2YTW,['SushantSinghRajput']
2428,deepti_2021,,"Mumbai, India",0,31,5910,1,"The case will be heard in court. As per law, #SushantSinghRajput's family cannot drop abetment charges. Given the seriousness of the offence, CBI has still not arrested #RheaChakraborty because THEY DON'T HAVE EVEN A SINGLE PROOF 😏 https://t.co/2urmvYYehk https://t.co/weezyVyDA0 https://t.co/fJ9Zreq2sq",['SushantSinghRajput']
2429,nainaya66768568,ssr ❤,,95,102,1179,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2430,bjeena,"A human from earth

IF you want to know my thoughts
follow my Tweets",India,1151,995,21371,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2431,Suhana0807,"‘Anything that brings us together could be right, everything that divides us should be wrong.’ ~Sushant Singh Rajput 💥Humanity first ⚖️║🇺🇸",Andromeda Galaxy,161,89,8506,69,Good night warrior's #SushantSinghRajput https://t.co/nSkbpK2YTW,['SushantSinghRajput']
2432,Lawangeenzwanan,(🇦🇫//🇳🇱)...₁₂/₂/₂₀₁₇●...₁₄/₆/₂₀₂₀●/I’m a good person but don’t give me a reason to show you my evil side!/☆♡☆@itsSSR ☆♡☆ ₐₙd 《ₐᵣₙₐb Gₒₛwₐₘᵢ》/(B. @Foros1720),ₙₒₙₑ ₒf yₒᵤᵣ bᵤₛᵢₙₑₛₛ!!!,723,759,33821,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2433,SSR_Lifetime,,,31,73,4020,80,We love you mere SSR 😘 and miss you every day every hour every time every second  justice for SSR #SushantSinghRajput https://t.co/TW5JUpo10e,['SushantSinghRajput']
2434,Pari12345666,"🌺🌺🌺🌺Jai shree ram🌺🌺🌺🌺

We can't forget u Sushant 🔱
U a always in our heart 💖 Love u 💖💖💗💞💝 (❤Arnab fangirl account 🥰❤)",,1344,996,13572,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2435,RjCh16331514,"Bharat Mata Ki Jai,Decent But Dangerous,Liars Stay Away,Following Truth Is My Passion.",,664,441,50288,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2436,SeriEternitySSR,#IgnoreNFly 🕊 BS FREE ZONE ❌》 My Main bestfrend 'Kuch Toh Hein Tujhse Raabta'😘🦋 @ItsSSR ❤ 3 BFFs on here @Fduddy21 @swetashiv1 @Sb581334Soni,Sush World🇬🇧🇵🇰 ,969,964,17521,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2437,For_SSR_Justice,"'Dubito, Ergo Cogito, Ergo Sum'
                           I doubt, therefore I think, therefore I am❤~ SSR #selfmusing 💫",Gods Palace,722,620,14158,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2438,Justice78602373,"Fan of Sushant💖💖
you will always be alive in our hearts 💖 forever",,714,936,125042,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2439,HimashieG,,Sri Lanka,213,149,3546,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2440,Tanutoor85,Backup Account(@harinderstoor)Self-musing|JusticeForSushantSinghRajput|Don’t Be A Jerk|Seri ❣️,"Winnipeg, Manitoba",1186,1119,41499,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2441,Ramya04687905,Durga mata 🙏🙏 please give justice for sushant and disha,,586,555,72508,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2442,sp84070,🇮🇳 Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life; define yourself. 🇬🇧,"Brent, London",1132,975,39420,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2443,souravjha0610,"Stock Market
Junior citizen of INDIA 
GODDA, JHARKHAND",India,5610,5890,45857,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2444,bollywood_life,"Know what's trending in Bollywood. Catch up with the latest celebrity news, gossips, movie reviews and much more only at https://t.co/k4dc7eZy57",Mumbai,713,730153,134040,0,"Sushant Singh Rajput's friend Smita Parikh claims Rhea Chakraborty dated Aditya Roy Kapoor before meeting SSR 
 #AdityaRoyKapoor #RheaChakraborty #SmitaParikh #SushantSinghRajput 
 https://t.co/SWS6rW4zvh","['AdityaRoyKapoor', 'RheaChakraborty', 'SmitaParikh', 'SushantSinghRajput']"
2445,here4justice27,,,753,765,21307,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2446,TheNobita0,"Stay United For Sushant🤝                                 


Stay Positive For Sushant 😃",,728,1114,29797,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2447,DSouls05,"🅿🆁🅾🆄🅳 🅸🅽🅳🅸🅰🅽
ᴋᴀᴛʜᴀᴋᴀʀ ʙʏ ᴘʀᴏꜰᴇꜱꜱɪᴏɴ
ʟᴏᴠᴇꜱ ᴘᴏᴇᴛʀʏ ..ᴛʀᴀᴠᴇʟʟɪɴɢ..ʜᴀᴘᴘʏ ɴ ʙʟᴇꜱꜱᴇᴅ ᴍᴇ❤❤",Tere dimag Mein!!,3026,3257,104493,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2448,AnuKansal8,,,476,448,59220,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2449,GunjitBirSingh,🌱ɭɨ⨏៩ ɨន ♬ នϦ០ƦƬ ƬƦɨᖰ ៣♬ƙ៩ ᖲ៩នƬ ⩏ន៩ ០⨏ ɨƬ.💖 ɭɨ⩔៩ ɭɨƙ៩ ♬ ɭ០Ƭ⩏ន 🌷 ᖲ៩♬⩏Ƭɨ⨏⩏ɭ ♬⩎ᖱ នƬƦ០⩎❡ 🔱 #JusticeforSushantSinghRajput ⚖,,1591,988,65626,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2450,SRajput84903464,"Fan of SSR❤🚀🕉📚🎸🎵🌍

Your true acquirement is the Knowledge.Grow ur knowledge not jst ur beard. Your achievements r evaluated by ur Wisdom nt by Insta Pics.",,1950,1368,128980,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2451,its_sush_fan,"Justice for Sushant Singh Rajput💫🔱
                                                                      My backup account 👉 @Mickey4SSR✨",India🇮🇳,667,877,34220,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2452,Ilovesush2,"Proud to be fan of SSR❤️😎
#Justiceforssr🙏❤️
rok sako to rok lo justice to leke rahenge✊😠",,197,160,5328,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2453,JatinForSSR,Sushant ❤💥,"Maharashtra, India",411,648,37230,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2454,Anshraj52038101,Smile,,972,736,132074,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2455,sweety35004900,"Hey mahadev!!you are the only hope for our Sushant's justice🙏🔱✨💫
#HangSSRKillers #JusticeForSushantSinghRajput🙏🙏",in sushant's heart❤️,1226,1369,39544,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2456,sabkapyarajerry,"Love Is The Cause And It Survives 
@itsssr 💫😌❤",,1523,1563,39946,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2457,DoReclaim,"scanf('🦌👣, 👶🐧') ; printf('302')",India,460,379,37972,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2458,TomBhaiSSRian,Keep on dreaming; a little spark of yourself enough to keep you going forward. Life is often like Tom and Jerry. #JusticeForSushantSinghRajput,Avvara Billah On A BREAK🔌🔌🔌,1002,1407,52185,67,"READING FAKE NEWS ABOUT @itsSSR AND KNOWING THE TRUTH!
#SushantSinghRajput 
MURDERED💥🔱 @DainikBhaskar 
@DrJitendraSingh @narendramodi 
File 302 In SSR Case
Dainik Bhaskar Defaming SSR 👈🏿 @nilotpalm3 @withoutthemind @shwetasinghkirt @PiyaliBh @ApurvaU21 @GHiwarkar @_PreetiPandey https://t.co/OSDOdk6UWV",['SushantSinghRajput']
2459,itsiram_02,"The only thing that will survive of us is Love 💕 Only here for @itsSSR - my inspiration, my Angel 💫❤️🌙🦋",,317,288,41226,80,We love you mere SSR 😘 and miss you every day every hour every time every second  justice for SSR #SushantSinghRajput https://t.co/TW5JUpo10e,['SushantSinghRajput']
